filename,fault,condition,PC1,PC2
BF_1200.csv,BRG_BF,1200rpm,0.2973657702065767,-0.6695045747058919
BF_1800.csv,BRG_BF,1800rpm,2.0772046805173874,0.7501131079715045
BF_200-2400-200.csv,BRG_BF,200-2400-200,3.6026309673414927,-1.3094962306425764
BF_2400.csv,BRG_BF,2400rpm,3.5975760935964103,2.1685270028896557
CF_1200.csv,BRG_CF,1200rpm,-2.002350558050505,-0.3856918380992433
CF_1800.csv,BRG_CF,1800rpm,-1.0641244746508363,0.3205111169431448
CF_200-2400-200.csv,BRG_CF,200-2400-200,-0.6263969759867611,-0.09248671781874776
CF_2400.csv,BRG_CF,2400rpm,0.0347704366608824,1.2241224374584836
IF+OF_1200.csv,BRG_IO,1200rpm,-0.3992912153653952,-1.0718760365252626
IF+OF_1800.csv,BRG_IO,1800rpm,1.022112418548349,-0.2797302154590189
IF+OF_200-2400-200.csv,BRG_IO,200-2400-200,3.524539077799375,-2.0030094250766814
IF+OF_2400.csv,BRG_IO,2400rpm,4.157058474894893,-0.027276596726999128
IF_1200.csv,BRG_IR,1200rpm,-1.096489036677275,-1.195546477677634
IF_1800.csv,BRG_IR,1800rpm,3.0914947908707537,-1.9451822967810761
IF_200-2400-200.csv,BRG_IR,200-2400-200,7.710857707837086,-5.039625207232864
IF_2400.csv,BRG_IR,2400rpm,7.284628539546261,0.7209870595112131
OF_1200.csv,BRG_OR,1200rpm,-2.048120551836947,-0.5842654534755866
OF_1800.csv,BRG_OR,1800rpm,-1.2573230436050606,0.14846987319274446
OF_200-2400-200.csv,BRG_OR,200-2400-200,-0.7099768712290124,-0.6841389817727439
OF_2400.csv,BRG_OR,2400rpm,-0.5502576679956004,0.893191397109076
gear tooth break_1200.csv,GBX_BT,1200rpm,-1.4272248407888763,-0.6385761281983567
gear tooth break_1800.csv,GBX_BT,1800rpm,0.07029624281898608,0.2903526843543828
gear tooth break_200-2400-200.csv,GBX_BT,200-2400-200,1.3904405576882441,0.15476356540505104
gear tooth break_2400.csv,GBX_BT,2400rpm,2.32308951232555,2.8137530486917717
eccentric gear_1200.csv,GBX_EG,1200rpm,-2.1521679596199124,-0.47729895488206464
eccentric gear_1800.csv,GBX_EG,1800rpm,-1.369271253914295,0.28791132093767385
eccentric gear_200-2400-200.csv,GBX_EG,200-2400-200,-0.7187902926524091,-0.10679777797989433
eccentric gear_2400.csv,GBX_EG,2400rpm,-0.775776665258526,1.4780528362508012
gear surface wear_1200.csv,GBX_WR,1200rpm,-1.5817134675172226,-0.5722605778690455
gear surface wear_1800.csv,GBX_WR,1800rpm,-0.6223976383021796,0.12318699342671803
gear surface wear_200-2400-200.csv,GBX_WR,200-2400-200,0.2222917322673829,-0.4428218903908998
gear surface wear_2400.csv,GBX_WR,2400rpm,1.1981947103229031,1.7913518779808721
IF+gear tooth break_1200.csv,MIX_IB,1200rpm,-0.3980556734892029,-0.30786906305821027
IF+gear tooth break_1800.csv,MIX_IB,1800rpm,-0.1501397461670491,0.4492408908864824
IF+gear tooth break_200-2400-200.csv,MIX_IB,200-2400-200,0.48300714110076515,0.10963113603238288
IF+gear tooth break_2400.csv,MIX_IB,2400rpm,1.3419056491338888,1.5856543774962697
IF+eccentric gear_1200.csv,MIX_II,1200rpm,-2.235128686804316,-0.29442976639119867
IF+eccentric gear_1800.csv,MIX_II,1800rpm,-1.4940199758893398,0.25446566613896543
IF+eccentric gear_200-2400-200.csv,MIX_II,200-2400-200,-0.8793669643393566,-0.12575167676310064
IF+eccentric gear_2400.csv,MIX_II,2400rpm,-0.3637967216667231,1.3209064414334961
IF+gear surface wear_1200.csv,MIX_IS,1200rpm,-2.4602537973454304,-0.6310318405343995
IF+gear surface wear_1800.csv,MIX_IS,1800rpm,-2.060822911206344,-0.5985589653199297
IF+gear surface wear_200-2400-200.csv,MIX_IS,200-2400-200,-1.0391246279995476,-1.7644385212090108
IF+gear surface wear_2400.csv,MIX_IS,2400rpm,-1.4577509795944321,0.18121381399659942
OF+gear tooth break_1200.csv,MIX_OB,1200rpm,-0.8834709096522443,-0.6724811235649678
OF+gear tooth break_1800.csv,MIX_OB,1800rpm,-0.04009876327505622,0.4503021170046371
OF+gear tooth break_200-2400-200.csv,MIX_OB,200-2400-200,1.3044806245060498,-0.33970892955017623
OF+gear tooth break_2400.csv,MIX_OB,2400rpm,1.3424337869038012,1.8954778144500553
OF+eccentric gear_1200.csv,MIX_OI,1200rpm,-2.1004808425448322,-0.2685761697149381
OF+eccentric gear_1800.csv,MIX_OI,1800rpm,-1.031235161354041,0.4601495622895806
OF+eccentric gear_200-2400-200.csv,MIX_OI,200-2400-200,-0.5086086860532221,-0.061527317255151384
OF+eccentric gear_2400.csv,MIX_OI,2400rpm,-0.11877882917189603,1.589151569575847
OF+gear surface wear_1200.csv,MIX_OS,1200rpm,-1.7812625802559163,-1.0111587972371967
OF+gear surface wear_1800.csv,MIX_OS,1800rpm,-1.4590082707332606,-0.443680863540939
OF+gear surface wear_200-2400-200.csv,MIX_OS,200-2400-200,-1.3984767470314778,-0.6117162078712226
OF+gear surface wear_2400.csv,MIX_OS,2400rpm,-1.3884683946543388,0.26656555412582944
Normal_1200.csv,NOR,1200rpm,-2.0228464560532204,-0.8428541921826116
normal_1200.csv,NOR,1200rpm,-0.6271234455454955,-0.47389435938557845
Normal_1800.csv,NOR,1800rpm,-2.062906554083468,-0.5940219349596073
normal_1800.csv,NOR,1800rpm,0.02452457833897776,1.0798142215624036
Normal_200-2400-200.csv,NOR,200-2400-200,-1.5494167797026517,-0.9089674355480413
normal_200-2400-200.csv,NOR,200-2400-200,-0.11941079504589164,-0.1172671228510576
Normal_2400.csv,NOR,2400rpm,-0.9700369677852702,0.35188806921079735
normal_2400.csv,NOR,2400rpm,2.9008592876688306,4.433764111925483
