filename,fault,condition,value,feature,lower_bound,upper_bound
BF_2400.csv,BRG_BF,2400rpm,0.3919995697794448,rms,-0.034790679034329225,0.3796253712830169
IF_2400.csv,BRG_IR,2400rpm,0.4352580475839963,rms,-0.034790679034329225,0.3796253712830169
gear tooth break_2400.csv,GBX_BT,2400rpm,0.3940514180118106,rms,-0.034790679034329225,0.3796253712830169
normal_2400.csv,NOR,2400rpm,0.507666977867633,rms,-0.034790679034329225,0.3796253712830169
BF_2400.csv,BRG_BF,2400rpm,0.3919799849933751,std,-0.03791159845485442,0.38148210097949437
IF_2400.csv,BRG_IR,2400rpm,0.4352555527110393,std,-0.03791159845485442,0.38148210097949437
gear tooth break_2400.csv,GBX_BT,2400rpm,0.3940514013048571,std,-0.03791159845485442,0.38148210097949437
normal_2400.csv,NOR,2400rpm,0.5073728050171519,std,-0.03791159845485442,0.38148210097949437
BF_200-2400-200.csv,BRG_BF,200-2400-200,8.3518,peak_to_peak,-1.8917250000000005,7.7353950000000005
BF_2400.csv,BRG_BF,2400rpm,8.0359,peak_to_peak,-1.8917250000000005,7.7353950000000005
IF+OF_2400.csv,BRG_IO,2400rpm,8.766100000000002,peak_to_peak,-1.8917250000000005,7.7353950000000005
IF_200-2400-200.csv,BRG_IR,200-2400-200,11.3395,peak_to_peak,-1.8917250000000005,7.7353950000000005
IF_2400.csv,BRG_IR,2400rpm,12.7857,peak_to_peak,-1.8917250000000005,7.7353950000000005
BF_1800.csv,BRG_BF,1800rpm,11.271995181558896,kurtosis,-5.887158938762992,10.791366320658847
BF_200-2400-200.csv,BRG_BF,200-2400-200,21.502382554159304,kurtosis,-5.887158938762992,10.791366320658847
IF+OF_1200.csv,BRG_IO,1200rpm,11.10669973000836,kurtosis,-5.887158938762992,10.791366320658847
IF+OF_200-2400-200.csv,BRG_IO,200-2400-200,21.757061889802305,kurtosis,-5.887158938762992,10.791366320658847
IF+OF_2400.csv,BRG_IO,2400rpm,15.021108401857395,kurtosis,-5.887158938762992,10.791366320658847
IF_1200.csv,BRG_IR,1200rpm,20.657852651032385,kurtosis,-5.887158938762992,10.791366320658847
IF_1800.csv,BRG_IR,1800rpm,33.67716348109376,kurtosis,-5.887158938762992,10.791366320658847
IF_200-2400-200.csv,BRG_IR,200-2400-200,92.74423026786012,kurtosis,-5.887158938762992,10.791366320658847
IF_2400.csv,BRG_IR,2400rpm,36.054504027522576,kurtosis,-5.887158938762992,10.791366320658847
BF_200-2400-200.csv,BRG_BF,200-2400-200,18.60650762583249,crest_factor,0.45759659677876474,16.662813382740964
IF+OF_200-2400-200.csv,BRG_IO,200-2400-200,20.21434813032492,crest_factor,0.45759659677876474,16.662813382740964
IF_200-2400-200.csv,BRG_IR,200-2400-200,26.42890768601491,crest_factor,0.45759659677876474,16.662813382740964
BF_200-2400-200.csv,BRG_BF,200-2400-200,4.2137,max_abs,-0.9112250000000004,3.9666550000000007
BF_2400.csv,BRG_BF,2400rpm,4.119,max_abs,-0.9112250000000004,3.9666550000000007
IF+OF_200-2400-200.csv,BRG_IO,200-2400-200,4.108,max_abs,-0.9112250000000004,3.9666550000000007
IF+OF_2400.csv,BRG_IO,2400rpm,4.3859,max_abs,-0.9112250000000004,3.9666550000000007
IF_200-2400-200.csv,BRG_IR,200-2400-200,5.9061,max_abs,-0.9112250000000004,3.9666550000000007
IF_2400.csv,BRG_IR,2400rpm,6.4265,max_abs,-0.9112250000000004,3.9666550000000007
