filename,file_path,fault,condition,channel_a,channel_b,correlation,channel_1_2_correlation
B1_20.MAT,data/raw/dataset_2/broken/1/B1_20.MAT,GBX_BT,sensor1_spd20hz,Channel_1,Channel_2,-0.03718474433009621,-0.03718474433009621
B1_20.MAT,data/raw/dataset_2/broken/1/B1_20.MAT,GBX_BT,sensor1_spd20hz,Channel_1,Channel_3,0.0045348660893942214,
B1_20.MAT,data/raw/dataset_2/broken/1/B1_20.MAT,GBX_BT,sensor1_spd20hz,Channel_1,Channel_4,0.009747599142807551,
B1_20.MAT,data/raw/dataset_2/broken/1/B1_20.MAT,GBX_BT,sensor1_spd20hz,Channel_2,Channel_3,-0.02433889782886143,
B1_20.MAT,data/raw/dataset_2/broken/1/B1_20.MAT,GBX_BT,sensor1_spd20hz,Channel_2,Channel_4,0.0148745268736555,
B1_20.MAT,data/raw/dataset_2/broken/1/B1_20.MAT,GBX_BT,sensor1_spd20hz,Channel_3,Channel_4,-0.1343254426677925,
B1_25.MAT,data/raw/dataset_2/broken/1/B1_25.MAT,GBX_BT,sensor1_spd25hz,Channel_1,Channel_2,0.0029495167323736592,0.0029495167323736592
B1_25.MAT,data/raw/dataset_2/broken/1/B1_25.MAT,GBX_BT,sensor1_spd25hz,Channel_1,Channel_3,-0.000883367936449518,
B1_25.MAT,data/raw/dataset_2/broken/1/B1_25.MAT,GBX_BT,sensor1_spd25hz,Channel_1,Channel_4,0.010103017315031737,
B1_25.MAT,data/raw/dataset_2/broken/1/B1_25.MAT,GBX_BT,sensor1_spd25hz,Channel_2,Channel_3,-0.011301956882331526,
B1_25.MAT,data/raw/dataset_2/broken/1/B1_25.MAT,GBX_BT,sensor1_spd25hz,Channel_2,Channel_4,0.012155146635872591,
B1_25.MAT,data/raw/dataset_2/broken/1/B1_25.MAT,GBX_BT,sensor1_spd25hz,Channel_3,Channel_4,-0.14493913059551183,
B1_30.MAT,data/raw/dataset_2/broken/1/B1_30.MAT,GBX_BT,sensor1_spd30hz,Channel_1,Channel_2,0.044034202032003124,0.044034202032003124
B1_30.MAT,data/raw/dataset_2/broken/1/B1_30.MAT,GBX_BT,sensor1_spd30hz,Channel_1,Channel_3,-0.009295006185314326,
B1_30.MAT,data/raw/dataset_2/broken/1/B1_30.MAT,GBX_BT,sensor1_spd30hz,Channel_1,Channel_4,0.015774889513800686,
B1_30.MAT,data/raw/dataset_2/broken/1/B1_30.MAT,GBX_BT,sensor1_spd30hz,Channel_2,Channel_3,-0.009312729143493511,
B1_30.MAT,data/raw/dataset_2/broken/1/B1_30.MAT,GBX_BT,sensor1_spd30hz,Channel_2,Channel_4,0.026994272772229305,
B1_30.MAT,data/raw/dataset_2/broken/1/B1_30.MAT,GBX_BT,sensor1_spd30hz,Channel_3,Channel_4,-0.16701114097789724,
B1_35.MAT,data/raw/dataset_2/broken/1/B1_35.MAT,GBX_BT,sensor1_spd35hz,Channel_1,Channel_2,0.050098084627368776,0.050098084627368776
B1_35.MAT,data/raw/dataset_2/broken/1/B1_35.MAT,GBX_BT,sensor1_spd35hz,Channel_1,Channel_3,0.001493418562813458,
B1_35.MAT,data/raw/dataset_2/broken/1/B1_35.MAT,GBX_BT,sensor1_spd35hz,Channel_1,Channel_4,0.01830457912340499,
