filename,fault,condition,value,feature,lower_bound,upper_bound
M_35_3.txt,GBX_MT,spd35hz,0.3381266444210866,rms,-0.06590966271270302,0.30575092219172234
M_35_4.txt,GBX_MT,spd35hz,0.3304408157361514,rms,-0.06590966271270302,0.30575092219172234
M_40_1.txt,GBX_MT,spd40hz,0.3076846919068901,rms,-0.06590966271270302,0.30575092219172234
M_40_2.txt,GBX_MT,spd40hz,0.3520638757478249,rms,-0.06590966271270302,0.30575092219172234
M_40_3.txt,GBX_MT,spd40hz,0.3387323207228923,rms,-0.06590966271270302,0.30575092219172234
M_40_4.txt,GBX_MT,spd40hz,0.3780429019783299,rms,-0.06590966271270302,0.30575092219172234
M_35_3.txt,GBX_MT,spd35hz,0.3376065734116497,std,-0.07062296211752069,0.30707025959260137
M_35_4.txt,GBX_MT,spd35hz,0.3299057522699263,std,-0.07062296211752069,0.30707025959260137
M_40_1.txt,GBX_MT,spd40hz,0.3071211288305144,std,-0.07062296211752069,0.30707025959260137
M_40_2.txt,GBX_MT,spd40hz,0.351566334646022,std,-0.07062296211752069,0.30707025959260137
M_40_3.txt,GBX_MT,spd40hz,0.3382084872913515,std,-0.07062296211752069,0.30707025959260137
M_40_4.txt,GBX_MT,spd40hz,0.3775682319403107,std,-0.07062296211752069,0.30707025959260137
M_20_0.txt,GBX_MT,spd20hz,44.8394389024077,kurtosis,-20.788749573698546,34.97794426108805
M_20_2.txt,GBX_MT,spd20hz,36.58871324060543,kurtosis,-20.788749573698546,34.97794426108805
