filename,fault,condition,value,feature,lower_bound,upper_bound
M1_20.MAT,GBX_MT,sensor1_spd20hz,47.14410582540298,kurtosis,-5.141057246763623,17.088582414304128
M1_25.MAT,GBX_MT,sensor1_spd25hz,25.503281591177448,kurtosis,-5.141057246763623,17.088582414304128
M2_20.MAT,GBX_MT,sensor2_spd20hz,66.39113033768052,kurtosis,-5.141057246763623,17.088582414304128
M2_25.MAT,GBX_MT,sensor2_spd25hz,49.71411221117103,kurtosis,-5.141057246763623,17.088582414304128
M2_30.MAT,GBX_MT,sensor2_spd30hz,34.58567563795324,kurtosis,-5.141057246763623,17.088582414304128
M2_35.MAT,GBX_MT,sensor2_spd35hz,23.951282652080668,kurtosis,-5.141057246763623,17.088582414304128
M2_40.MAT,GBX_MT,sensor2_spd40hz,17.997597112219992,kurtosis,-5.141057246763623,17.088582414304128
W2_20.MAT,GBX_WR,sensor2_spd20hz,17.156406395635674,kurtosis,-5.141057246763623,17.088582414304128
B1_20.MAT,GBX_BT,sensor1_spd20hz,19.424192498420837,crest_factor,4.721455974073233,17.60974387873379
B2_20.MAT,GBX_BT,sensor2_spd20hz,18.26876964059393,crest_factor,4.721455974073233,17.60974387873379
M1_20.MAT,GBX_MT,sensor1_spd20hz,19.616077733322022,crest_factor,4.721455974073233,17.60974387873379
M2_20.MAT,GBX_MT,sensor2_spd20hz,23.043462443227615,crest_factor,4.721455974073233,17.60974387873379
M2_25.MAT,GBX_MT,sensor2_spd25hz,21.82836806169483,crest_factor,4.721455974073233,17.60974387873379
M2_30.MAT,GBX_MT,sensor2_spd30hz,17.82255090425022,crest_factor,4.721455974073233,17.60974387873379
