filename,fault,condition,PC1,PC2
B1_20.MAT,GBX_BT,sensor1_spd20hz,-2.530821428930518,1.5291351198167893
B1_25.MAT,GBX_BT,sensor1_spd25hz,-1.499352118368836,1.2100283612725584
B1_30.MAT,GBX_BT,sensor1_spd30hz,-0.5869024502858697,1.0458748700116658
B1_35.MAT,GBX_BT,sensor1_spd35hz,0.3522423495135857,0.3752296632480877
B1_40.MAT,GBX_BT,sensor1_spd40hz,1.0816205922912068,-0.062085293636601514
B1_45.MAT,GBX_BT,sensor1_spd45hz,1.3102348290156054,-1.0695223699054641
B1_50.MAT,GBX_BT,sensor1_spd50hz,2.240235863447393,-1.7523748578400298
B1_55.MAT,GBX_BT,sensor1_spd55hz,2.637936274764986,-1.8641752988076128
B2_20.MAT,GBX_BT,sensor2_spd20hz,-2.203267452680718,0.7394461404365174
B2_25.MAT,GBX_BT,sensor2_spd25hz,-1.661844932092872,0.45271039230487
B2_30.MAT,GBX_BT,sensor2_spd30hz,-1.0316362134935717,0.3873876115444236
B2_35.MAT,GBX_BT,sensor2_spd35hz,-0.5648395285759908,-0.08492600140320168
B2_40.MAT,GBX_BT,sensor2_spd40hz,-0.2229307480747888,-0.5286468935360289
B2_45.MAT,GBX_BT,sensor2_spd45hz,0.10423005095614024,-0.6359744111576875
B2_50.MAT,GBX_BT,sensor2_spd50hz,0.9090175539785774,0.34609427191162856
B2_55.MAT,GBX_BT,sensor2_spd55hz,1.9355636239414227,0.2891294882496145
M1_20.MAT,GBX_MT,sensor1_spd20hz,0.7107323355358635,4.260933924545547
M1_25.MAT,GBX_MT,sensor1_spd25hz,0.7867673331342344,1.905083827376181
M1_30.MAT,GBX_MT,sensor1_spd30hz,0.4485471865900006,0.27446111762568337
M1_35.MAT,GBX_MT,sensor1_spd35hz,0.6599704778486737,-0.16080424057415488
M1_40.MAT,GBX_MT,sensor1_spd40hz,1.5636961812406294,0.7115434840909765
M1_45.MAT,GBX_MT,sensor1_spd45hz,2.114763689436639,1.0502178625632268
M1_50.MAT,GBX_MT,sensor1_spd50hz,1.6850834558385224,-0.571839083796498
M1_55.MAT,GBX_MT,sensor1_spd55hz,1.8837219098071367,-0.5417164705981136
M2_20.MAT,GBX_MT,sensor2_spd20hz,0.04480243235697385,6.119554734337382
M2_25.MAT,GBX_MT,sensor2_spd25hz,0.7759616101354789,4.810301923069477
M2_30.MAT,GBX_MT,sensor2_spd30hz,1.1971628368412277,3.2445873917168258
M2_35.MAT,GBX_MT,sensor2_spd35hz,1.582786067211396,1.6531451195380729
M2_40.MAT,GBX_MT,sensor2_spd40hz,2.1540380809462647,0.9590715708538984
M2_45.MAT,GBX_MT,sensor2_spd45hz,2.5747733750327533,0.8225078006536612
M2_50.MAT,GBX_MT,sensor2_spd50hz,2.568487300081291,-0.11014358372878219
M2_55.MAT,GBX_MT,sensor2_spd55hz,3.068951397815429,-0.4360555926800057
R1_20.MAT,GBX_RC,sensor1_spd20hz,-2.979241308568949,-1.3796362407856708
R1_25.MAT,GBX_RC,sensor1_spd25hz,-2.5844454009969473,-1.0972419162284262
R1_30.MAT,GBX_RC,sensor1_spd30hz,-2.1662162684883337,-0.780489306588706
R1_35.MAT,GBX_RC,sensor1_spd35hz,-1.7549504192587584,-0.9951338027688093
R1_40.MAT,GBX_RC,sensor1_spd40hz,-1.4895121559788458,-0.9277800539661346
R1_45.MAT,GBX_RC,sensor1_spd45hz,-1.2242163329201594,-0.8380668067157386
R1_50.MAT,GBX_RC,sensor1_spd50hz,-1.15885701327475,-1.2312205169657813
R1_55.MAT,GBX_RC,sensor1_spd55hz,-0.5817106905907616,-0.636291666438978
R2_20.MAT,GBX_RC,sensor2_spd20hz,-2.4853444344634212,-0.8206235262597172
R2_25.MAT,GBX_RC,sensor2_spd25hz,-2.3240234230477865,-0.391979099431767
R2_30.MAT,GBX_RC,sensor2_spd30hz,-2.041302024662599,-0.8536504870611525
R2_35.MAT,GBX_RC,sensor2_spd35hz,-1.7765967499825321,-0.7876340585697842
R2_40.MAT,GBX_RC,sensor2_spd40hz,-1.359872902908962,-0.7133963735434832
