,mean,mean,mean,mean,std,std,std,std,rms,rms,rms,rms,peak_to_peak,peak_to_peak,peak_to_peak,peak_to_peak,skewness,skewness,skewness,skewness,kurtosis,kurtosis,kurtosis,kurtosis,max_abs,max_abs,max_abs,max_abs,crest_factor,crest_factor,crest_factor,crest_factor
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensor1_spd20hz,0.08898348206106722,0.3712507328705633,-0.3628138337882757,0.4801208188420534,40.1220545363097,30.00304828981954,11.769199074620197,81.94005350345958,40.12486286272595,30.000815521258076,11.777969914325205,81.94085673232746,1035.1563510894775,785.9924318768335,228.57668247818947,2258.3010017871857,0.05343292350260394,0.14747224522348168,-0.1764006242121382,0.2207237094173036,15.266814802307954,18.128209154483656,3.0390637911697453,47.14410582540298,547.9587717577815,412.9084086354849,125.19665537029503,1194.383551619947,14.280914287242762,5.291115511388936,7.67123536409096,19.616077733322022
sensor1_spd25hz,-0.05097893395088613,0.2553236073295513,-0.3098173076167405,0.2505962602947354,51.05846573112815,34.564301887830155,17.770384047206903,102.38574921539283,51.05910685662623,34.564108059917736,17.77215090164664,102.38620351110556,1127.075305378437,632.3754749105918,333.25198566913605,1952.820014923811,0.07138459770538504,0.09514169386592897,-0.0535360560926387,0.1740556572884206,10.828777699350292,9.116103368361333,3.46595432148877,25.503281591177448,576.7659914299845,315.34994014166654,180.12830135971308,979.6889263167976,12.15117165752027,3.4976463865292695,7.240688612939166,16.117866138218755
sensor1_spd30hz,-0.09637197427247168,0.23160114400675183,-0.3682416907636523,0.1430875522860735,59.379541655601656,36.90097249428227,26.37564907133376,117.5002759855067,59.379888513384024,36.90115890822042,26.3760371925308,117.50085301227844,1129.4556767046452,479.480731825216,517.5781755447388,1549.0724169015884,0.06710284096139985,0.09652413072381502,-0.0205247942174693,0.1970922618406041,7.728532654055789,4.732681032984875,2.048946548531841,13.21710431514082,591.2028726294636,253.1857714268898,268.62928656488657,798.8757004961371,10.970367662299834,3.118340869163147,6.24049002472573,14.71591195712436
sensor1_spd35hz,-0.15571292245029805,0.18280187459346728,-0.3881158076947182,0.0600936171792447,71.9179004483605,38.943910560572036,33.01687614513394,133.50069387442713,71.91815901874571,38.944131839551034,33.016930832921766,133.50125804213866,1262.695435810089,453.73350340094527,600.2808203399181,1659.8512363135817,0.028051164752583603,0.07129067846657505,-0.0520122868807866,0.1220599621842449,5.757747518703928,3.502035221196397,1.46445480788785,10.450773331391492,666.4266447171569,244.15164913544916,312.8797791674733,875.9291505590081,10.015661978457704,2.5094903948385596,5.861707701136367,11.995921506337693
sensor1_spd40hz,-0.16690231563285585,0.16299891483517814,-0.3125300154011846,0.0439655333288461,86.49128170037604,43.91152583353817,39.693419389283584,155.27170814880213,86.49151612013404,43.91164767943038,39.69344373799879,155.27202267780663,1486.5113756358626,530.3635573249749,694.8853217661381,2018.7379901111128,0.00211877366053616,0.0680818600489912,-0.0809325112474969,0.1026015324442018,4.603013178325186,2.8142038010258563,0.9517802768400124,8.777666803924548,826.1556642219424,351.8987203979732,371.77871070057154,1321.4858346953988,10.279025705876828,3.564659991998503,5.448643654442484,15.383080685977122
sensor1_spd45hz,-0.17914578606678844,0.13651328585536937,-0.3170325793174505,0.000483473418489,95.91534016720547,46.35722059145747,42.69102586440054,165.2377595829922,95.915546024919,46.35732187069893,42.69102586713818,165.23803237205544,1734.9855209946631,620.6764123545726,789.1846473813057,2308.3498347997665,0.02019287593139718,0.11756189179559011,-0.0811278080544537,0.2203198232313651,5.164085660377118,3.896006436684542,2.018232806730887,11.91596403969657,987.2586633220315,430.98784999364096,436.63201277703047,1543.9590009525418,10.892717876975043,3.717799011286721,7.456402369080574,16.35550647322098
sensor1_spd50hz,-0.1691727626319229,0.15340894827937307,-0.3752198408591747,0.0307263962937742,116.46188560866283,52.79105933962903,47.29354383831605,190.3815774134546,116.46206945914427,52.79111408000941,47.29355381971366,190.38164151988573,1735.1686264812947,608.6379965591224,775.4517358839512,2331.848372250796,0.013258652071244843,0.1190624998813336,-0.0560119579131523,0.2254549925181739,4.569266346319132,4.492008009962227,1.5088456464821487,12.456526700894484,924.6053808674217,345.0806185582248,394.6668965294957,1280.89745182544,8.355874743015908,2.2357439872376657,5.68356177781815,11.186195215943448
sensor1_spd55hz,-0.16491858130827247,0.11658668706630985,-0.3119018109941333,0.002121962348029,130.17490226582612,50.40661844917041,57.8257570246034,191.58115729352045,130.1750259833366,50.40669113622424,57.82575706353694,191.5812825525958,2037.841995882988,736.1785825715343,1140.1368300914764,3032.532034426928,0.05804940221882424,0.16087380227139256,-0.0249846413518824,0.3452093987411422,4.977745125778116,5.867140539729183,1.177370773557727,15.255904664302122,1073.1039305254817,374.48475767646664,585.4017784371972,1526.5639797225597,8.793553448969577,2.7922644448183087,5.142305913276179,12.14357230262636
