dataset_id,dataset_name,sub_dataset,file_path,raw_filename,std_name,raw_label,fault_code,coarse_fault_code,fault_label,component,split,test_eligible,is_variable_speed,n_channels,fs_raw,fs_target,speed_rpm,load_nm,severity_code,condition_str,condition_desc,rep,file_format,std_path
1,D1_BearingTV,bearing,data/raw/dataset_1/B-A-1.mat,B-A-1.mat,d1_brg_BRG_BF_cond_A_001.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,train,True,True,1,200000,10000,,,,cond_A,Condition A (speed profile 1),1,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_A_001.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-A-2.mat,B-A-2.mat,d1_brg_BRG_BF_cond_A_002.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,train,True,True,1,200000,10000,,,,cond_A,Condition A (speed profile 1),2,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_A_002.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-A-3.mat,B-A-3.mat,d1_brg_BRG_BF_cond_A_003.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,train,True,True,1,200000,10000,,,,cond_A,Condition A (speed profile 1),3,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_A_003.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-B-1.mat,B-B-1.mat,d1_brg_BRG_BF_cond_B_001.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,train,True,True,1,200000,10000,,,,cond_B,Condition B (speed profile 2),1,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_B_001.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-B-2.mat,B-B-2.mat,d1_brg_BRG_BF_cond_B_002.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,train,True,True,1,200000,10000,,,,cond_B,Condition B (speed profile 2),2,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_B_002.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-B-3.mat,B-B-3.mat,d1_brg_BRG_BF_cond_B_003.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,train,True,True,1,200000,10000,,,,cond_B,Condition B (speed profile 2),3,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_B_003.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-C-1.mat,B-C-1.mat,d1_brg_BRG_BF_cond_C_001.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,val,True,True,1,200000,10000,,,,cond_C,Condition C (speed profile 3),1,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_C_001.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-C-2.mat,B-C-2.mat,d1_brg_BRG_BF_cond_C_002.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,val,True,True,1,200000,10000,,,,cond_C,Condition C (speed profile 3),2,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_C_002.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-C-3.mat,B-C-3.mat,d1_brg_BRG_BF_cond_C_003.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,val,True,True,1,200000,10000,,,,cond_C,Condition C (speed profile 3),3,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_C_003.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-D-1.mat,B-D-1.mat,d1_brg_BRG_BF_cond_D_001.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,test,True,True,1,200000,10000,,,,cond_D,Condition D (speed profile 4),1,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_D_001.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-D-2.mat,B-D-2.mat,d1_brg_BRG_BF_cond_D_002.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,test,True,True,1,200000,10000,,,,cond_D,Condition D (speed profile 4),2,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_D_002.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/B-D-3.mat,B-D-3.mat,d1_brg_BRG_BF_cond_D_003.mat,B,BRG_BF,BRG_SINGLE,Bearing_Ball,bearing,test,True,True,1,200000,10000,,,,cond_D,Condition D (speed profile 4),3,mat,data/standardized/dataset_1/brg/BRG_BF/d1_brg_BRG_BF_cond_D_003.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-A-1.mat,C-A-1.mat,d1_brg_BRG_CF_cond_A_001.mat,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,train,True,True,1,200000,10000,,,,cond_A,Condition A (speed profile 1),1,mat,data/standardized/dataset_1/brg/BRG_CF/d1_brg_BRG_CF_cond_A_001.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-A-2.mat,C-A-2.mat,d1_brg_BRG_CF_cond_A_002.mat,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,train,True,True,1,200000,10000,,,,cond_A,Condition A (speed profile 1),2,mat,data/standardized/dataset_1/brg/BRG_CF/d1_brg_BRG_CF_cond_A_002.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-A-3.mat,C-A-3.mat,d1_brg_BRG_CF_cond_A_003.mat,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,train,True,True,1,200000,10000,,,,cond_A,Condition A (speed profile 1),3,mat,data/standardized/dataset_1/brg/BRG_CF/d1_brg_BRG_CF_cond_A_003.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-B-1.mat,C-B-1.mat,d1_brg_BRG_CF_cond_B_001.mat,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,train,True,True,1,200000,10000,,,,cond_B,Condition B (speed profile 2),1,mat,data/standardized/dataset_1/brg/BRG_CF/d1_brg_BRG_CF_cond_B_001.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-B-2.mat,C-B-2.mat,d1_brg_BRG_CF_cond_B_002.mat,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,train,True,True,1,200000,10000,,,,cond_B,Condition B (speed profile 2),2,mat,data/standardized/dataset_1/brg/BRG_CF/d1_brg_BRG_CF_cond_B_002.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-B-3.mat,C-B-3.mat,d1_brg_BRG_CF_cond_B_003.mat,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,train,True,True,1,200000,10000,,,,cond_B,Condition B (speed profile 2),3,mat,data/standardized/dataset_1/brg/BRG_CF/d1_brg_BRG_CF_cond_B_003.mat
1,D1_BearingTV,bearing,data/raw/dataset_1/C-C-1.mat,C-C-1.mat,d1_brg_BRG_CF_cond_C_001.mat,C,BRG_CF,BRG_COMBINED,Bearing_Combined,bearing,val,True,True,1,200000,10000,,,,cond_C,Condition C (speed profile 3),1,mat,data/standardized/dataset_1/brg/BRG_CF/d1_brg_BRG_CF_cond_C_001.mat
