filename,file_size_mb,channel,raw_name,fault,condition,trial,filename_pattern_valid,dtype,ndim_original,ndim_squeezed,num_elements,is_numeric,length,missing_count,finite_count,mean,std,min,max,median,rms,peak_to_peak,skewness,kurtosis,max_abs,crest_factor
B-A-1.mat,11.919,Channel_1,B-A-1,B,A,1,True,float64,2,1,2000000,True,2000000,0,2000000,-0.0002420652704115598,0.011302222279066843,-0.11104783192214493,0.10599125776050834,-0.00022636188391397805,0.011304814197525513,0.21703908968265329,-0.04825751589314889,0.6771180009024707,0.11104783192214493,9.823056795259134
B-A-1.mat,11.919,Channel_2,B-A-1,B,A,1,True,float64,2,1,2000000,True,2000000,0,2000000,2.1089165276473385,2.068896847122264,-0.05801206292985331,4.401156492549982,1.550512481991448,2.9542957002670778,4.4591685554798355,0.010299240822499566,-1.9874181748595112,4.401156492549982,1.4897481291910297
B-A-2.mat,11.976,Channel_1,B-A-2,B,A,2,True,float64,2,1,2000000,True,2000000,0,2000000,-0.000216137479594266,0.011881065162226853,-0.11466514978493403,0.1513721631117224,-0.00022636188391397805,0.011883030960119811,0.26603731289665644,-0.03443615169936655,1.049423228603355,0.1513721631117224,12.738514577613808
B-A-2.mat,11.976,Channel_2,B-A-2,B,A,2,True,float64,2,1,2000000,True,2000000,0,2000000,2.1063853577646015,2.0669028368228073,-0.07083421597642547,4.418252859907482,1.5016895481723194,2.9510924438707904,4.489087075883908,0.011537768392196383,-1.9867821603726303,4.418252859907482,1.4971584062315226
B-A-3.mat,11.937,Channel_1,B-A-3,B,A,3,True,float64,2,1,2000000,True,2000000,0,2000000,-0.00016772641854186839,0.011749177198403474,-0.08835738329874798,0.09513930239100196,-0.00022636188391397805,0.01175037433407808,0.18349668568974994,-0.027067814750780482,0.9423817218818944,0.09513930239100196,8.096703959045954
B-A-3.mat,11.937,Channel_2,B-A-3,B,A,3,True,float64,2,1,2000000,True,2000000,0,2000000,2.1074887850085084,2.0672868252478054,-0.07280685488879338,4.416280202090048,1.5547865437507782,2.952149013308744,4.489087056978842,0.010784328623521456,-1.98681401066271,4.416280202090048,1.4959543648307638
B-B-1.mat,11.917,Channel_1,B-B-1,B,B,1,True,float64,2,1,2000000,True,2000000,0,2000000,-0.0002465903666840789,0.011787181719607302,-0.12650364454454102,0.11289704759245581,-0.00022636188391397805,0.011789760799099621,0.23940069213699683,-0.0396545763663453,0.9733706370463158,0.12650364454454102,10.729958537767963
B-B-1.mat,11.917,Channel_2,B-B-1,B,B,1,True,float64,2,1,2000000,True,2000000,0,2000000,2.111170821884389,2.0714336545211043,-0.05801206292985331,4.44356863628482,1.555279704725197,2.9576814609181077,4.501580699214673,0.01043256035112961,-1.9872900756269298,4.44356863628482,1.5023824218397985
B-B-2.mat,11.689,Channel_1,B-B-2,B,B,2,True,float64,2,1,2000000,True,2000000,0,2000000,-0.00028938390662205894,0.010829152986096574,-0.08539775953815362,0.09711238517815007,-0.00022636188391397805,0.01083301885171886,0.1825101447163037,-0.04751116276054763,1.265564488311231,0.09711238517815007,8.964480400838717
B-B-2.mat,11.689,Channel_2,B-B-2,B,B,2,True,float64,2,1,2000000,True,2000000,0,2000000,2.1164467036925956,2.0771092487561766,-0.061628567655711536,4.4830217981842475,1.5607044754743622,2.9654223107071442,4.544650365839959,0.009799579882016681,-1.9879696283606854,4.4830217981842475,1.5117650467515407
B-B-3.mat,12.449,Channel_1,B-B-3,B,B,3,True,float64,2,1,2000000,True,2000000,0,2000000,-0.0002521721899426372,0.014496175932371652,-0.10644397281071902,0.171431839230743,-0.00022636188391397805,0.01449836913158344,0.27787581204146206,0.0013688595240943819,0.9264856133131065,0.171431839230743,11.824215377251887
B-B-3.mat,12.449,Channel_2,B-B-3,B,B,3,True,float64,2,1,2000000,True,2000000,0,2000000,2.1030608346619166,2.061250055541377,-0.05932715555929635,4.3797860346024535,1.6226783755638086,2.9447608843093196,4.43911319016175,0.01052678252650511,-1.9858193485047468,4.3797860346024535,1.487314660398891
B-C-1.mat,11.868,Channel_1,B-C-1,B,C,1,True,float64,2,1,2000000,True,2000000,0,2000000,-0.00026452339112685515,0.011198938787393978,-0.10019587827837317,0.08922005404896385,-0.00022636188391397805,0.011202062425654063,0.18941593232733703,-0.04584679341661327,0.4878889094264349,0.10019587827837317,8.944413490225926
B-C-1.mat,11.868,Channel_2,B-C-1,B,C,1,True,float64,2,1,2000000,True,2000000,0,2000000,2.108810830992709,2.0678996485012924,-0.07609458639883568,4.378470929543251,1.6095274147222574,2.953521978449447,4.454565515942087,0.00953549862335197,-1.9872506956455698,4.378470929543251,1.482457541027638
B-C-2.mat,11.866,Channel_1,B-C-2,B,C,2,True,float64,2,1,2000000,True,2000000,0,2000000,-0.00015727418188382302,0.011280008835773988,-0.25047898679002756,0.2572609493029902,-0.00022636188391397805,0.011281105198668543,0.5077399360930177,-0.04140639220561879,2.6533037282256107,0.2572609493029902,22.804587385051025
B-C-2.mat,11.866,Channel_2,B-C-2,B,C,2,True,float64,2,1,2000000,True,2000000,0,2000000,2.1092142509128027,2.069058694716177,-0.06623139182904791,4.396882400849529,1.568101890221723,2.9546215727964675,4.463113792678577,0.010078151190634268,-1.9873942473836792,4.396882400849529,1.4881372427968844
B-C-3.mat,11.694,Channel_1,B-C-3,B,C,3,True,float64,2,1,2000000,True,2000000,0,2000000,-0.0002772167312099512,0.010454976802736386,-0.11762477348401901,0.10895088196929278,-0.00022636188391397805,0.010458651397853291,0.2265756554533118,-0.059878017979044615,0.722127434600992,0.11762477348401901,11.246648254110687
B-C-3.mat,11.694,Channel_2,B-C-3,B,C,3,True,float64,2,1,2000000,True,2000000,0,2000000,2.1117183940895887,2.0722607109437248,-0.08036863734215738,4.399183834835181,1.547389129189041,2.958651556039896,4.479552472177339,0.00991484918600007,-1.988003167399916,4.399183834835181,1.486888114909825
B-D-1.mat,11.65,Channel_1,B-D-1,B,D,1,True,float64,2,1,2000000,True,2000000,0,2000000,-0.00048329005903063204,0.013327936909441028,-0.30408105483001147,0.3848536621378006,-0.0005552089896375123,0.01333669642539705,0.688934716967812,-0.08813437917707571,32.451870550651385,0.3848536621378006,28.85674606830852
B-D-1.mat,11.65,Channel_2,B-D-1,B,D,1,True,float64,2,1,2000000,True,2000000,0,2000000,2.1152907104365206,2.0754208484721803,-0.06261488712361377,4.399841387405468,1.5921023921148127,2.963414666888861,4.462456274529082,0.008869490787649896,-1.9884534167771817,4.399841387405468,1.484720122555322
B-D-2.mat,11.841,Channel_1,B-D-2,B,D,2,True,float64,2,1,2000000,True,2000000,0,2000000,-0.0002055865925904977,0.010979834069495539,-0.10677281989060286,0.10895088196929278,-0.00022636188391397805,0.010981758604190314,0.21572370185989564,-0.05665800290509115,0.511466769019568,0.10895088196929278,9.921077843372041
B-D-2.mat,11.841,Channel_2,B-D-2,B,D,2,True,float64,2,1,2000000,True,2000000,0,2000000,2.1115614096562125,2.0713597031100726,-0.060971021343113496,4.3866903362493055,1.596705228219144,2.957908485132287,4.447661357592419,0.00942072981950936,-1.9878339857949334,4.3866903362493055,1.4830378824425052
B-D-3.mat,12.743,Channel_1,B-D-3,B,D,3,True,float64,2,1,2000000,True,2000000,0,2000000,-0.00014150925189258356,0.023486055121317774,-0.33926768753171466,0.4308922738339589,-0.00022636188391397805,0.02348648143145218,0.7701599613656736,0.148354256261619,16.907356062590015,0.4308922738339589,18.346395354773097
